Frequency,Mode,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source,Stn,Call sign,Additional info,Remarks,Position of site,Active,Year
11660000,AM,Voice of Turkiye,0500,0600,Turkish,Emirler,Turkiye,1234567,wME,500,150,Turkey,ILGRadio,VTURK,,,,"032 51 20E,39 24 08N",C,2211
11660000,AM,Voice of Turkiye,0600,0657,Turkish,Emirler,Turkiye,1234567,wME,500,150,Turkey,ILGRadio,VTURK,,,,"032 51 20E,39 24 08N",C,2211
11660000,DRM,Chinese Jammer,1100,1200,DRM Mandarin,Dongfang,China,1234567,(CHNe  ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,
11660000,DRM,Chinese Jammer,1200,1300,DRM Mandarin,Dongfang,China,1234567,(CHNe  ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,2212
11660000,DRM,Chinese Jammer,1300,1400,DRM Mandarin,Dongfang,China,1234567,(CHNe  ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,2212
11660000,DRM,Chinese Jammer,1400,1500,DRM Mandarin,Dongfang,China,1234567,(CHNe  ),30,5,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"108 40 50E,18 52 20N",C,
11665000,AM,Wai FM Kuala Lumpur,2200,1400,Malaysian,Kajang,Malaysia,1234567,(MLAe  ),100,93,Malaysia,ILGRadio,WaiFM,,,Wai FM,"101 46 57E,03 00 43N",C,2211
11666000,USB,Russian Navy Blacksea Fleet,0500,1300,DATA:TELEX,Sevastopol,Ukraine,1234567,sEU/nAT,3,0,Ukraine,ILGRadio,RusNA,RCV,T-600/50Bd/200,,"033 30 59E,44 30 27N",C,2102
11666000,USB,Russian Navy Blacksea Fleet,0500,1300,DATA:DATA,Sevastopol,Ukraine,1234567,sEU/nAT,5,0,Ukraine,ILGRadio,RusNA,RCV,MPSK-12 AT-3004D 120,,"033 30 59E,44 30 27N",C,2212
11668000,USB,Russian Navy Northern Fleet,0300,2300,DATA:TELEX,Murmansk-Severomorsk,Russia,1234567,nEU/neAT,3,0,Russian Federation,ILGRadio,RusNA,RIT,T-600/50Bd/200,,"033 19 30E,69 03 31N",C,2204
11670000,AM,CNR Beijing 2,0600,0900,Mandarin,Beijing-Shuangqiao,China,123.567,(CHNsw ),150,220,China,ILGRadio,CNR 2,,,,"116 34 30E,39 53 16N",C,2211
11670000,AM,CNR Beijing 2,0900,1200,Mandarin,Beijing-Shuangqiao,China,1234567,(CHNsw ),150,220,China,ILGRadio,CNR 2,,,,"116 34 30E,39 53 16N",C,2212
11670000,AM,CNR Beijing 2,2330,0600,Mandarin,Beijing-Shuangqiao,China,1234567,(CHNsw ),150,220,China,ILGRadio,CNR 2,,,,"116 34 30E,39 53 16N",C,2211
11670000,AM,Chinese Jammer,1600,1700,Mandarin,Kashi II,China,1234567,(CHN   ),250,115,China,ILGRadio,Jamme,,,JAMMING VOA TIB,"075 42 55E,39 21 51N",C,2211
11670000,AM,R.Habana Cuba,0000,0100,Spanish,La Habana-Bauta,Cuba,1234567,eSA,100,130,Cuba,ILGRadio,RHC,,,,"082 32 44W,22 57 01N",C,2203
11670000,AM,R.Habana Cuba,0100,0200,Spanish,La Habana-Bauta,Cuba,1234567,eSA,100,130,Cuba,ILGRadio,RHC,,,,"082 32 44W,22 57 01N",C,
11670000,AM,R.Habana Cuba,0200,0300,Spanish,La Habana-Bauta,Cuba,1234567,eSA,100,130,Cuba,ILGRadio,RHC,,,,"082 32 44W,22 57 01N",C,2211
11670000,AM,R.Habana Cuba,0300,0400,Spanish,La Habana-Bauta,Cuba,1234567,eSA,100,130,Cuba,ILGRadio,RHC,,,,"082 32 44W,22 57 01N",C,2211
11670000,AM,R.Habana Cuba,0400,0500,Spanish,La Habana-Bauta,Cuba,1234567,eSA,100,130,Cuba,ILGRadio,RHC,,,,"082 32 44W,22 57 01N",C,2211
11670000,AM,Voice of America,1600,1700,Tibetan,Tinang,Philippines,1234567,cASw,250,315,Philippines,ILGRadio,VOA,,,,"120 37 33E,15 22 44N",C,2211
11670000,AM,R.Romania International,1200,1256,English,Tiganesti,Romania,1234567,nwEU,300,307,Romania,ILGRadio,ROMAN,,,,"026 06 10E,44 44 59N",C,2212
11670000,DRM,Chinese Jammer,1600,1700,DRM Mandarin,Dongfang,China,1234567,(CHN   ),30,310,China,ILGRadio,Jamme,,,JAMMING VOA TIB,"108 40 50E,18 52 20N",C,2211
11675000,AM,Voice of America,1330,1430,Khmer,Tinang,Philippines,1234567,seASn,250,270,Philippines,ILGRadio,VOA,,,,"120 37 33E,15 22 44N",C,2211
11680000,AM,TeleDiffusion de Algerie,0600,0700,Arabic,Bechar,Algeria,1234567,wAFse,300,131,Algeria,ILGRadio,TDA,,,,"002 20 55W,31 34 25N",C,NONE
11680000,AM,CNR Beijing,0000,0600,Hakka/Amoy,Nanning,China,1234567,seASn,100,142,China,ILGRadio,CNR 6,,,,"108 11 30E,22 47 32N",C,2211
11680000,AM,CNR Beijing,0600,0900,Hakka,Nanning,China,123.567,seASn,100,142,China,ILGRadio,CNR 6,,,,"108 11 30E,22 47 32N",C,2212
11680000,AM,CNR Beijing,0900,1200,Hakka/Mandarin,Nanning,China,1234567,seASn,100,142,China,ILGRadio,CNR 6,,,,"108 11 30E,22 47 32N",C,2212
