Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
5975000,AM,Korean Broadcasting System,07:00,02:00,Korean,HwaSung,Korea (Rep. of),1234567,,100,0,Korea (Rep. of),HFCC
5975000,AM,Radio New Zealand,16:45,19:00,English,Rangitaiki,New Zealand,123457,,35,35,New Zealand,HFCC
5975000,AM,China Radio International,22:00,23:00,Standard Chinese,Beijing,China,1234567,,500,257,China,HFCC
5980000,AM,Japan International Communications,13:00,15:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5980000,AM,Radio New Zealand,13:00,16:45,English,Rangitaiki,New Zealand,1234567,,50,325,New Zealand,HFCC
5980000,AM,Radio New Zealand,13:00,16:45,English,Rangitaiki,New Zealand,1234567,,50,35,New Zealand,HFCC
5980000,AM,Japan International Communications,15:00,15:05,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5980000,AM,Japan International Communications,15:30,18:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5980000,AM,Japan International Communications,18:00,18:05,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5985000,AM,Abu Dhabi Media Company,02:30,03:30,Persian,Dhabayya,United Arab Emirates,1234567,,250,35,United Arab Emirates,HFCC
5985000,AM,China Radio International,11:30,12:00,Filipino,Beijing,China,1234567,,500,165,China,HFCC
5985000,AM,Japan International Communications,16:00,17:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5985000,AM,China Radio International,16:00,17:00,Swahili (macrolanguage),Beijing,China,1234567,,500,257,China,HFCC
5985000,AM,Japan International Communications,17:00,18:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5985000,AM,China Radio International,17:00,18:00,Swahili (macrolanguage),Beijing,China,1234567,,500,257,China,HFCC
5985000,AM,Japan International Communications,18:00,18:05,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5985000,AM,China Radio International,19:00,20:00,Portuguese,Beijing,China,1234567,,500,257,China,HFCC
5985000,AM,China Radio International,20:00,21:00,English,Beijing,China,1234567,,500,257,China,HFCC
5985000,AM,China National Radio,20:25,24:00,Chinese,Nanning,China,1234567,,100,142,China,HFCC
5990000,AM,China Radio International,00:00,01:00,Spanish,La Habana,Cuba,1234567,,250,0,Cuba,HFCC
5990000,AM,China Radio International,01:00,02:00,Russian,Kashi,China,1234567,,100,0,China,HFCC
5990000,AM,Media Broadcast GmbH,10:00,16:00,Multiple languages,Nauen,Germany,1234567,,125,233,Germany,HFCC
5990000,AM,China Radio International,12:00,13:00,Mongolian,Huhhot,China,1234567,,100,345,China,HFCC
5990000,AM,China Radio International,13:00,14:00,Russian,Huhhot,China,1234567,,100,345,China,HFCC
5990000,AM,China Radio International,14:00,15:00,Mongolian,Huhhot,China,1234567,,100,345,China,HFCC
5990000,AM,China Radio International,15:00,16:00,Russian,Huhhot,China,1234567,,100,345,China,HFCC
5990000,AM,Islamic Republic of Iran Broadcasting,18:20,19:20,Albanian,Sirjan,Iran (Islamic Rep. of),1234567,,500,300,Iran (Islamic Rep. of),HFCC
5990000,AM,China National Radio,22:50,16:00,Tibetan,Xining,China,1234567,,50,206,China,HFCC
5990000,AM,China Radio International,23:00,24:00,English,La Habana,Cuba,1234567,,250,0,Cuba,HFCC
5995000,AM,China Radio International,16:00,17:00,Russian,Geermu,China,1234567,,100,287,China,HFCC
5995000,AM,China National Radio,20:55,24:00,Chinese,Nanning,China,1234567,,100,142,China,HFCC
6000000,AM,Islamic Republic of Iran Broadcasting,00:50,02:20,Tajik,Sirjan,Iran (Islamic Rep. of),1234567,,500,65,Iran (Islamic Rep. of),HFCC
6000000,AM,All India Radio,07:00,10:00,Multiple languages,Leh,India,1234567,,10,130,India,HFCC
6000000,AM,China National Radio,11:00,18:05,Chinese,Beijing,China,1234567,,100,0,China,HFCC
6000000,AM,For new organization,15:00,23:59,English,Sofia,Bulgaria,1234567,,25,306,Bulgaria,HFCC
6000000,AM,China National Radio,20:25,23:30,Chinese,Beijing,China,1234567,,100,0,China,HFCC
6005000,AM,Radio Europe Netherlands,00:00,17:00,Dutch,Alphen aan den Rijn,Netherlands,1234567,,6,0,Netherlands,HFCC
6005000,AM,For new organization,19:00,21:00,Multiple languages,Sofia,Bulgaria,1234567,,250,306,Bulgaria,HFCC
6010000,AM,China National Radio,13:00,16:05,Tibetan,Baoji,China,1234567,,100,255,China,HFCC
6010000,AM,For new organization,17:00,22:00,French,Sofia,Bulgaria,1234567,,250,110,Bulgaria,HFCC
6010000,AM,China National Radio,21:55,24:00,Tibetan,Baoji,China,1234567,,100,255,China,HFCC
6015000,AM,China National Radio,00:00,03:48,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
6015000,AM,Korean Broadcasting System,04:00,24:00,Korean,HwaSung,Korea (Rep. of),1234567,,100,0,Korea (Rep. of),HFCC
6015000,AM,China National Radio,11:53,18:00,Kazakh,Urumqi,China,1234567,,100,0,China,HFCC
6015000,AM,The Overcomer Ministry,14:00,16:00,English,Nauen,Germany,1234567,,125,115,Germany,HFCC
6020000,AM,Korean Broadcasting System,00:00,24:00,Korean,HwaSung,Korea (Rep. of),1234567,,10,0,Korea (Rep. of),HFCC
6020000,AM,Radio Casanova International,06:00,13:00,Dutch,Winterswijk,Netherlands,1234567,,1,0,Netherlands,HFCC
6020000,AM,China Radio International,19:00,20:00,Albanian,Shijiazhuang,China,1234567,,500,315,China,HFCC
6020000,AM,China Radio International,20:00,21:00,Polish,Shijiazhuang,China,1234567,,500,315,China,HFCC
6025000,AM,China National Radio,10:00,11:00,Tibetan,Lhasa,China,2,,100,268,China,HFCC
6025000,AM,China National Radio,20:50,18:05,Tibetan,Lhasa,China,1234567,,100,268,China,HFCC
6030000,AM,United States Agency for Global Media (USAGM),01:00,12:00,Spanish,"Greenville, NC (Site B)",United States,1234567,,250,205,United States,HFCC
6030000,AM,China National Radio,11:00,16:05,Chinese,Nanning,China,1234567,,100,142,China,HFCC
6030000,AM,China National Radio,20:25,18:05,Chinese,Beijing,China,1234567,,30,0,China,HFCC
6035000,AM,China National Radio,10:00,15:00,Chinese,Kunming,China,1234567,,50,225,China,HFCC
6035000,AM,Japan International Communications,15:55,17:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
6035000,AM,Japan International Communications,19:50,20:50,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
6040000,AM,Telediffusion d'Algerie,00:00,01:00,Standard Arabic,Ourgla,Algeria,1234567,,300,210,Algeria,HFCC
6040000,AM,Telediffusion d'Algerie,01:00,02:00,Standard Arabic,Ourgla,Algeria,1234567,,300,210,Algeria,HFCC
6040000,AM,Telediffusion d'Algerie,02:00,03:00,Standard Arabic,Ourgla,Algeria,1234567,,300,210,Algeria,HFCC
