Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
549000,AM,CNR5 Cross-Strait Radio,2055,2300,Mandarin,Putian(Fujian),,smtwtfs,TWN,,,,EiBi
549000,AM,CNR5 Cross-Strait Radio,2300,2400,Mandarin,Putian(Fujian),,smtwtfs,TWN,,,,EiBi
558000,AM,Radio Kansai (CRK),0000,2400,Japanese,Kobe,Japan,1234567,,20,,JOCR,Aoki
558000,AM,R.Iran,0200,1630,Persian,Iranshahr,Iran,1234567,,600,,IRIB b25,Aoki
558000,AM,Muravideki Magyar Radio,0000,2400,Slovenian,Cerklje,Slovenia,1234567,,25,,,Aoki
558000,AM,Muravideki Magyar Radio,0000,2400,Slovenian,Cerklje,,smtwtfs,,,,,Aoki
558000,AM,Radio Kansai (CRK),0000,2400,Japanese,Kobe,,smtwtfs,,,,,Aoki
558000,AM,R.Iran,0200,1630,Persian,Iranshahr,,smtwtfs,,,,,Aoki
567000,AM,RNE Radio 5,0000,2400,Spanish,Murcia,Spain,1234567,,50,ND,RNE5,Aoki
567000,AM,NHK 1 Sapporo,0000,2400,Japanese,Sapporo,Japan,1234567,,100,,JOIK,Aoki
567000,AM,Lao National Radio,2155,1300,Lao,Vientiane/Km,Laos,1234567,,200,,LNR,Aoki
567000,AM,NHK 1 Sapporo,0000,2400,Japanese,Sapporo,,smtwtfs,,,,,Aoki
567000,AM,RNE Radio 5,0000,2400,Spanish,Murcia,,smtwtfs,,,,,Aoki
567000,AM,Lao National Radio,2155,1300,Lao,Vientiane/Km,,smtwtfs,,,,,Aoki
